video_id,video_title,video_url,type_name,cid,video_time,redis_task_id,is_download,add_time
53115979,【今天小智不在家】「Сука блять!」皮卡丘+伏特加=俄式土嗨（伏特加！给你加满伏特！）,https://www.bilibili.com/video/av53115979,影视|影视剪辑|电影,92923611,71,,f,2019/6/5
53144505,男人的新娘是个巨人，轻轻的一个吻，差点让他窒息！,https://www.bilibili.com/video/av53144505,影视|影视杂谈|电影解说,92978176,154,,f,2019/6/5
53165635,【LGBT】【彩虹】love is love / 谢谢你，教我爱的定义,https://www.bilibili.com/video/av53165635,影视|影视剪辑|混剪,93018916,212,,f,2019/6/5
53170558,夜王：“就没有我驾驭不了的出场BGM！”,https://www.bilibili.com/video/av53170558,影视|影视剪辑|电影剪辑,93025814,267,,f,2019/6/5
53189042,漫威乐队大合唱新歌X复联全员角色回顾/踩点/混剪/致敬斯坦李，无悔入漫威,https://www.bilibili.com/video/av53189042,影视|影视剪辑|电影剪辑,93138077,127,,f,2019/6/5
53228861,《哥斯拉怪兽之王》预告分析，穆托将会再次出现,https://www.bilibili.com/video/av53228861,影视|影视杂谈|科幻,93123767,231,,f,2019/6/5
53265190,［中原超模比赛纪录片］  西启首席男模 容齐   “为国争光背后的故事”,https://www.bilibili.com/video/av53265190,影视|影视剪辑|古装,93186948,125,,f,2019/6/5
53268622,为什么灭霸不用现实宝石让资源增长一倍，而是选择去杀一半人？,https://www.bilibili.com/video/av53268622,影视|影视杂谈|漫威,93195620,243,,f,2019/6/5
51178591,未来世界成绩决定一切，低于20分就要被强制送去精进，真相十分可怕,https://www.bilibili.com/video/av51178591,影视|影视杂谈|科幻,89588696,262,,f,2019/6/5
51184048,小伙在抓毒蜘蛛的时候，被蜘蛛咬了一口，却阴差阳错变成了吸血鬼,https://www.bilibili.com/video/av51184048,影视|影视杂谈|科幻,89609638,283,,f,2019/6/5
51187339,[1080/漫威/衔接/踩点向] 前方高能! 帅气十足的核能踩点与衔接!!!,https://www.bilibili.com/video/av51187339,影视|影视剪辑|影视剪辑,89613251,164,,f,2019/6/5
